theme_id,theme_name,content_order,content_idx,parent_category_idx,title,summary,image_url,reg_dt,view_count,content_url
162078,DDR5,1,392,1,[테마주] DDR5 관련주,,/Files/Contents/Editor/20210811011345782.PNG,2021-08-11 13:20:45,2568,https://finance.finup.co.kr/content/392
3363,방산,1,519,1,K2 전차·K9 자주포 폴란드 수출 본계약," K2 전차와 K9 자주포의 1차 본계약이 오는 26일 폴란드에서 체결될 것으로 전해졌습니다.
23일 방산업계 관계자 등에 따르면 올해 1~7월 한국 방산 기업이 체결한 주요 수출 계약의 총규모는 약 26조 원으로 추산되며, 이들 제품의 사후정비 시장(애프터마켓) 규모는 그 이상이 될 것으로 예상되고 있습니다. ",/Files/Contents/Editor/20220825075437773.PNG,2022-08-25 07:57:33,1377,https://finance.finup.co.kr/content/519
3363,방산,2,463,1,[테마주] 방위산업 관련주,,/Files/Contents/Editor/20220620112751913.jpg,2022-06-20 11:27:59,5227,https://finance.finup.co.kr/content/463
150313,비메모리 반도체,1,53682,1,퀄컴∙엔비디아 등 주요 팹리스사 '삼성 파운드리' 채택 가능성 ↑,"✔️삼성 파운드리 사업 '주목'... 3~5nm 초미세공정 수율 개선 확인
✔️삼성 파운드리 주목 이유 3가지(하이투자증권) ",20230712145758768.jpg,2023-07-12 14:58:00,976,https://finance.finup.co.kr/content/53682
150313,비메모리 반도체,2,47265,1,'7만전자' '10만닉스' 탈환에 반도체 소부장 업체 수혜 기대 ,"✔국내 반도체 기업 주가 나침반 '필라델피아 반도체지수' 상승
✔삼성전자·SK하이닉스 올 3분기 실적 개선 전망... 메모리 반도체 소부장 '주목' ",20230602142515947.jpg,2023-06-02 14:25:17,901,https://finance.finup.co.kr/content/47265
154420,영상 콘텐츠,1,8774,1,넷플릭스 호실적 발표... 이상한 변호사 우영우 등 K콘텐츠 주도,"✔넷플릭스 가입자 수 241만 명 증가... 시장 전망치 2배 웃돌아
✔넷플릭스 호실적 K콘텐츠가 주도... 우영우 누적 시청 시간 4억 2백만 시간",20221019121427415.jpg,2022-10-19 12:14:30,3202,https://finance.finup.co.kr/content/8774
161672,조선/LNG선,1,3613,1,유럽 에너지 사재기에 LNG선 운임 급등,"✔동절기 앞두고 유럽 국가들 LNG·원유 등 에너지 확보에 나서면서 운반선 운임 급등
✔해상 운임 급등에 아시아 에너지 가격 상승 전망",20220921121406992.jpg,2022-09-21 12:14:09,919,https://finance.finup.co.kr/content/3613
161672,조선/LNG선,2,473,1,[테마주] LNG선 관련주,,/Files/Contents/Editor/20220701080608743.jpg,2022-07-01 08:10:46,2683,https://finance.finup.co.kr/content/473
155287,반도체 장비,1,56308,1,전 세계 AI 붐이 반도체 산업 이끈다... 반도체 반등 이미 시작,"✔️'AI 붐' 반도체 랠리 주도... 램리서치 52주 신고가 경신
✔️반도체 업황 반등 시작 : 실리콘 웨이퍼 출하량 상승세로 전환",20230728151025506.png,2023-07-28 15:10:20,1249,https://finance.finup.co.kr/content/56308
155287,반도체 장비,2,55780,1,D램 현물가 상승 국면 진입에 'K-반도체 반등설 제기',"✔️D램 반도체 'DDR4' 현물가격 상승… 업황 회복 조짐
✔️2Q 실적 공개 앞둔 삼성·SK '반도체 성적표 주목'",20230725143912633.png,2023-07-25 14:39:10,891,https://finance.finup.co.kr/content/55780
